segment	overlapped degree	timestamp
1	silent	2021-12-27 18:26:25.347806
2	non-overlapped	2021-12-27 18:26:29.199161
3	non-overlapped	2021-12-27 18:26:32.211412
4	non-overlapped	2021-12-27 18:26:35.226868
5	silent	2021-12-27 18:26:38.191551
6	non-overlapped	2021-12-27 18:26:41.231173
7	silent	2021-12-27 18:26:44.239733
8	silent	2021-12-27 18:26:47.203156
9	silent	2021-12-27 18:26:50.257996
10	non-overlapped	2021-12-27 18:26:53.283980
11	non-overlapped	2021-12-27 18:26:56.305490
12	non-overlapped	2021-12-27 18:26:59.317177
