segment	speaker	timestamp
1	silent	2021-12-27 18:44:23.832057
2	data\lizaibei	2021-12-27 18:44:27.707758
3	silent	2021-12-27 18:44:30.602779
4	silent	2021-12-27 18:44:33.520918
5	silent	2021-12-27 18:44:36.425021
6	data\lizaibei	2021-12-27 18:44:39.361675
7	silent	2021-12-27 18:44:42.263540
8	silent	2021-12-27 18:44:45.159972
9	silent	2021-12-27 18:44:48.053572
10	silent	2021-12-27 18:44:50.968102
11	silent	2021-12-27 18:44:53.968736
12	silent	2021-12-27 18:44:56.861497
13	silent	2021-12-27 18:44:59.758609
